Tenure in Months,Monthly Charge,Contract,Paperless Billing,Payment Method,Unlimited Data,Avg Monthly GB Download,Number of Referrals
72,109.65,Two Year,Yes,Bank Withdrawal,No,73.0,2
38,70.6,One Year,No,Credit Card,Yes,22.0,0
42,66.4,Month-to-Month,Yes,Credit Card,Yes,30.0,4
1,74.4,Month-to-Month,Yes,Bank Withdrawal,No,29.0,1
44,104.15,Two Year,No,Bank Withdrawal,Yes,9.0,10
2,70.65,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
47,-2.0,One Year,Yes,Bank Withdrawal,Yes,25.0,0
15,19.65,One Year,No,Credit Card,,22.0,0
35,91.5,Month-to-Month,Yes,Credit Card,No,10.0,2
69,86.9,Two Year,No,Bank Withdrawal,Yes,53.0,9
10,20.25,Two Year,No,Credit Card,,22.0,0
17,-4.0,Month-to-Month,Yes,Bank Withdrawal,Yes,20.0,9
46,94.65,One Year,Yes,Bank Withdrawal,Yes,3.0,1
30,79.65,Month-to-Month,Yes,Credit Card,Yes,4.0,1
17,70.5,Month-to-Month,No,Bank Withdrawal,Yes,16.0,0
10,24.4,Month-to-Month,Yes,Credit Card,,22.0,4
27,80.65,One Year,Yes,Credit Card,Yes,53.0,1
11,53.8,One Year,No,Bank Withdrawal,Yes,17.0,0
5,85.4,Month-to-Month,Yes,Credit Card,Yes,17.0,0
1,70.2,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
25,95.7,Month-to-Month,Yes,Credit Card,Yes,8.0,7
57,18.8,Two Year,No,Credit Card,,22.0,0
4,79.9,Month-to-Month,Yes,Bank Withdrawal,Yes,46.0,0
24,89.55,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,0
43,71.9,One Year,Yes,Credit Card,Yes,51.0,5
34,99.85,One Year,Yes,Bank Withdrawal,Yes,12.0,0
72,-10.0,Two Year,No,Credit Card,Yes,23.0,1
58,50.0,One Year,No,Mailed Check,Yes,52.0,9
72,112.75,Two Year,Yes,Credit Card,Yes,42.0,0
63,99.9,One Year,No,Bank Withdrawal,Yes,59.0,0
25,89.15,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,1
52,109.1,Two Year,Yes,Bank Withdrawal,Yes,17.0,1
42,49.55,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,0
18,74.15,Month-to-Month,No,Credit Card,Yes,20.0,0
4,50.8,Month-to-Month,Yes,Credit Card,Yes,21.0,0
3,57.55,Month-to-Month,No,Bank Withdrawal,Yes,42.0,0
72,116.75,Two Year,Yes,Credit Card,Yes,16.0,6
19,25.6,Two Year,No,Credit Card,,22.0,4
15,91.5,Two Year,Yes,Bank Withdrawal,Yes,16.0,0
28,54.3,One Year,No,Credit Card,No,48.0,0
49,20.15,Two Year,Yes,Bank Withdrawal,,22.0,10
66,25.15,Two Year,Yes,Credit Card,,22.0,0
7,89.75,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,1
16,86.25,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,0
23,40.1,Two Year,No,Credit Card,Yes,26.0,0
72,71.45,Two Year,Yes,Bank Withdrawal,Yes,73.0,8
47,20.55,Two Year,Yes,Credit Card,,22.0,0
3,77.4,Month-to-Month,Yes,Bank Withdrawal,Yes,6.0,0
1,44.55,Month-to-Month,No,Bank Withdrawal,Yes,18.0,1
72,89.7,Two Year,No,Credit Card,Yes,30.0,10
4,83.25,One Year,Yes,Bank Withdrawal,Yes,14.0,10
41,80.25,Month-to-Month,Yes,Bank Withdrawal,Yes,3.0,10
12,33.6,One Year,Yes,Mailed Check,Yes,19.0,0
53,110.5,One Year,No,Bank Withdrawal,Yes,25.0,1
14,20.05,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
1,54.35,Month-to-Month,No,Bank Withdrawal,Yes,52.0,0
29,75.55,Two Year,No,Credit Card,Yes,7.0,7
25,35.05,Two Year,No,Bank Withdrawal,Yes,75.0,0
58,94.35,Two Year,No,Bank Withdrawal,Yes,23.0,2
10,55.2,Month-to-Month,No,Credit Card,Yes,69.0,6
9,24.6,Month-to-Month,Yes,Mailed Check,Yes,52.0,0
1,90.75,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,0
46,20.25,Two Year,No,Bank Withdrawal,,22.0,7
42,94.45,One Year,Yes,Credit Card,No,69.0,5
2,44.15,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
1,19.3,Month-to-Month,No,Bank Withdrawal,,20.0,0
7,20.45,Month-to-Month,No,Credit Card,,22.0,3
51,79.6,One Year,Yes,Bank Withdrawal,Yes,11.0,0
2,79.7,Month-to-Month,No,Bank Withdrawal,Yes,26.0,1
66,25.3,Two Year,Yes,Credit Card,,22.0,5
68,84.4,Two Year,Yes,Credit Card,Yes,30.0,3
4,77.85,Month-to-Month,No,Bank Withdrawal,No,28.0,0
12,96.05,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
30,19.55,One Year,No,Bank Withdrawal,,22.0,1
52,101.25,One Year,No,Bank Withdrawal,Yes,52.0,1
18,89.6,One Year,Yes,Credit Card,Yes,2.0,0
54,44.1,One Year,No,Bank Withdrawal,Yes,21.0,0
25,78.35,Month-to-Month,Yes,Bank Withdrawal,Yes,85.0,0
61,75.35,Two Year,No,Credit Card,Yes,52.0,10
57,93.75,Two Year,No,Bank Withdrawal,Yes,11.0,0
35,62.15,One Year,Yes,Bank Withdrawal,Yes,30.0,1
3,19.65,Month-to-Month,No,Credit Card,,21.0,1
12,106.7,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
54,106.55,One Year,No,Bank Withdrawal,Yes,21.0,2
57,53.35,Two Year,No,Credit Card,No,28.0,0
55,98.8,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,0
16,69.1,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
72,89.4,Two Year,Yes,Credit Card,Yes,19.0,7
4,20.5,Month-to-Month,Yes,Mailed Check,,22.0,4
30,100.2,Month-to-Month,Yes,Bank Withdrawal,Yes,82.0,0
19,99.95,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
42,84.3,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,1
27,20.3,One Year,No,Credit Card,,22.0,0
21,68.65,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,0
14,46.35,Month-to-Month,No,Bank Withdrawal,Yes,12.0,1
1,20.25,Month-to-Month,Yes,Credit Card,,20.0,0
72,82.3,Two Year,No,Bank Withdrawal,Yes,15.0,10
14,19.6,Month-to-Month,No,Credit Card,,22.0,0
44,88.15,Month-to-Month,Yes,Credit Card,Yes,24.0,0
1,79.35,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,2
9,55.35,Month-to-Month,No,Bank Withdrawal,Yes,27.0,0
20,19.7,Two Year,No,Credit Card,,22.0,0
71,114.6,Two Year,No,Bank Withdrawal,Yes,29.0,5
62,92.05,One Year,Yes,Bank Withdrawal,Yes,47.0,0
71,19.8,Two Year,No,Credit Card,,22.0,5
3,70.3,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,1
24,101.25,Month-to-Month,Yes,Bank Withdrawal,Yes,30.0,0
62,39.0,Two Year,Yes,Bank Withdrawal,Yes,4.0,6
15,55.7,Month-to-Month,Yes,Mailed Check,Yes,8.0,0
41,70.2,One Year,No,Credit Card,Yes,11.0,0
57,70.1,One Year,Yes,Bank Withdrawal,Yes,7.0,1
29,24.85,One Year,Yes,Credit Card,Yes,59.0,0
28,54.35,One Year,No,Credit Card,No,48.0,1
67,104.0,Two Year,Yes,Bank Withdrawal,Yes,59.0,0
48,102.5,Two Year,Yes,Credit Card,Yes,21.0,0
37,91.15,Month-to-Month,Yes,Bank Withdrawal,No,69.0,0
17,75.4,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,5
9,102.6,Month-to-Month,Yes,Credit Card,Yes,30.0,8
64,80.3,One Year,No,Credit Card,Yes,16.0,5
66,67.45,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,6
18,25.3,Two Year,No,Credit Card,,22.0,0
21,-1.0,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,0
17,24.1,Month-to-Month,No,Credit Card,,20.0,1
7,86.5,Month-to-Month,Yes,Bank Withdrawal,No,11.0,1
21,99.15,Month-to-Month,Yes,Bank Withdrawal,Yes,51.0,0
7,95.6,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,1
43,-6.0,One Year,No,Bank Withdrawal,Yes,11.0,0
59,18.4,Two Year,No,Bank Withdrawal,,22.0,9
20,94.55,Month-to-Month,Yes,Bank Withdrawal,Yes,10.0,7
16,79.95,Month-to-Month,Yes,Credit Card,Yes,69.0,1
13,20.4,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
7,95.0,Month-to-Month,No,Credit Card,No,28.0,0
65,107.65,Two Year,Yes,Bank Withdrawal,Yes,52.0,1
15,79.4,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
4,85.65,Month-to-Month,Yes,Bank Withdrawal,No,20.0,0
2,74.9,Month-to-Month,No,Credit Card,Yes,18.0,0
1,90.6,Month-to-Month,Yes,Bank Withdrawal,Yes,30.0,1
49,100.45,One Year,No,Mailed Check,Yes,19.0,1
26,83.95,Month-to-Month,Yes,Bank Withdrawal,Yes,20.0,0
72,117.35,Two Year,Yes,Credit Card,Yes,30.0,0
20,19.5,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
1,80.85,Month-to-Month,Yes,Credit Card,Yes,21.0,0
1,19.55,Month-to-Month,Yes,Credit Card,,21.0,0
26,105.75,Month-to-Month,No,Bank Withdrawal,No,18.0,0
63,50.65,Two Year,Yes,Bank Withdrawal,Yes,11.0,6
28,60.9,Month-to-Month,No,Mailed Check,Yes,24.0,7
2,20.3,Month-to-Month,No,Credit Card,,21.0,5
56,107.25,One Year,Yes,Bank Withdrawal,Yes,25.0,1
72,67.8,Two Year,Yes,Bank Withdrawal,Yes,6.0,1
1,79.95,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,0
55,19.5,One Year,No,Credit Card,,22.0,5
33,20.6,One Year,No,Credit Card,,22.0,2
40,70.75,One Year,No,Credit Card,Yes,22.0,0
65,24.8,One Year,No,Credit Card,,22.0,0
3,20.5,Month-to-Month,Yes,Bank Withdrawal,,21.0,0
11,-10.0,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,0
30,106.4,Month-to-Month,No,Bank Withdrawal,No,73.0,0
10,54.5,Month-to-Month,Yes,Credit Card,Yes,59.0,0
15,86.2,Month-to-Month,No,Bank Withdrawal,No,59.0,0
14,44.6,One Year,No,Bank Withdrawal,Yes,19.0,1
59,68.7,One Year,No,Bank Withdrawal,No,9.0,0
69,19.9,Two Year,No,Bank Withdrawal,,22.0,10
46,104.4,Two Year,Yes,Bank Withdrawal,Yes,82.0,0
29,19.85,Month-to-Month,No,Mailed Check,,22.0,0
71,65.15,Two Year,No,Bank Withdrawal,Yes,69.0,2
13,72.8,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,4
24,55.15,Month-to-Month,No,Bank Withdrawal,Yes,85.0,7
66,-2.0,One Year,No,Bank Withdrawal,Yes,41.0,9
8,54.4,Month-to-Month,Yes,Bank Withdrawal,Yes,57.0,10
23,99.25,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,1
50,103.05,One Year,No,Credit Card,Yes,27.0,7
33,39.1,One Year,Yes,Bank Withdrawal,Yes,30.0,0
40,50.85,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,0
21,94.25,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,0
46,96.05,Month-to-Month,No,Bank Withdrawal,No,8.0,0
17,20.15,One Year,No,Mailed Check,,22.0,0
11,79.5,Month-to-Month,Yes,Bank Withdrawal,No,19.0,1
11,89.2,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,0
8,49.55,Month-to-Month,Yes,Bank Withdrawal,Yes,53.0,6
7,79.7,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,0
11,95.0,Month-to-Month,Yes,Bank Withdrawal,No,29.0,0
25,25.5,Two Year,No,Credit Card,,22.0,1
27,81.3,Month-to-Month,Yes,Bank Withdrawal,No,69.0,0
1,51.25,Month-to-Month,No,Mailed Check,Yes,4.0,0
37,90.35,Month-to-Month,Yes,Bank Withdrawal,No,22.0,4
71,89.3,Two Year,No,Credit Card,Yes,27.0,7
56,21.2,One Year,Yes,Mailed Check,,22.0,0
24,79.85,Month-to-Month,Yes,Credit Card,Yes,41.0,0
20,80.7,One Year,No,Bank Withdrawal,Yes,4.0,0
70,79.6,Two Year,No,Bank Withdrawal,Yes,28.0,0
48,20.05,Two Year,Yes,Credit Card,,22.0,4
61,61.45,Two Year,Yes,Bank Withdrawal,Yes,26.0,8
9,79.35,Month-to-Month,Yes,Bank Withdrawal,No,59.0,1
9,88.05,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,3
1,49.95,Month-to-Month,No,Bank Withdrawal,Yes,27.0,0
33,93.8,One Year,Yes,Bank Withdrawal,Yes,27.0,5
9,68.95,Month-to-Month,Yes,Mailed Check,Yes,7.0,2
22,20.05,One Year,Yes,Credit Card,,22.0,0
71,49.35,Two Year,No,Bank Withdrawal,No,25.0,1
47,74.05,Two Year,No,Credit Card,Yes,3.0,0
70,44.05,One Year,Yes,Credit Card,Yes,13.0,0
11,99.5,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,1
58,70.1,Two Year,No,Bank Withdrawal,Yes,69.0,0
38,81.85,Month-to-Month,Yes,Credit Card,Yes,13.0,0
10,72.85,Month-to-Month,Yes,Bank Withdrawal,No,24.0,0
16,84.75,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,0
12,73.3,Two Year,Yes,Credit Card,Yes,24.0,0
1,20.0,Month-to-Month,No,Bank Withdrawal,,21.0,4
39,19.85,Two Year,Yes,Bank Withdrawal,,22.0,3
72,106.1,One Year,Yes,Bank Withdrawal,Yes,26.0,1
52,53.75,One Year,No,Bank Withdrawal,Yes,3.0,0
1,30.5,Month-to-Month,No,Bank Withdrawal,Yes,19.0,1
4,50.55,Month-to-Month,Yes,Bank Withdrawal,Yes,41.0,0
28,92.35,Month-to-Month,Yes,Credit Card,Yes,20.0,1
12,84.05,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,0
27,19.9,Two Year,No,Credit Card,,22.0,1
72,105.0,One Year,No,Credit Card,Yes,10.0,1
18,93.9,Two Year,No,Bank Withdrawal,Yes,25.0,0
70,79.7,Two Year,No,Bank Withdrawal,Yes,19.0,3
1,40.2,Month-to-Month,No,Bank Withdrawal,Yes,12.0,1
1,19.25,Month-to-Month,No,Credit Card,,20.0,0
72,115.15,Two Year,No,Bank Withdrawal,Yes,25.0,10
15,74.9,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,1
22,20.15,One Year,No,Credit Card,,22.0,3
10,20.1,One Year,No,Credit Card,,22.0,4
17,70.0,Month-to-Month,Yes,Bank Withdrawal,No,17.0,0
14,39.7,Two Year,No,Credit Card,Yes,24.0,0
58,44.1,One Year,Yes,Credit Card,No,25.0,7
12,94.55,Month-to-Month,No,Bank Withdrawal,Yes,8.0,0
4,101.15,Month-to-Month,No,Bank Withdrawal,Yes,48.0,3
1,19.7,Month-to-Month,No,Credit Card,,21.0,2
19,83.65,Month-to-Month,Yes,Bank Withdrawal,No,25.0,1
34,100.85,Month-to-Month,No,Bank Withdrawal,Yes,41.0,8
56,54.05,One Year,Yes,Bank Withdrawal,No,30.0,10
36,75.55,One Year,Yes,Credit Card,No,23.0,0
38,19.95,Two Year,Yes,Credit Card,,22.0,7
29,20.0,One Year,No,Credit Card,,22.0,0
10,59.65,Month-to-Month,Yes,Credit Card,No,25.0,0
1,59.55,Month-to-Month,Yes,Credit Card,Yes,48.0,0
2,74.7,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,0
13,63.15,Month-to-Month,Yes,Credit Card,Yes,25.0,3
1,42.9,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,0
1,19.65,Month-to-Month,No,Credit Card,,21.0,0
50,75.5,One Year,No,Bank Withdrawal,No,47.0,1
7,99.8,Month-to-Month,Yes,Bank Withdrawal,No,2.0,0
1,45.7,Month-to-Month,Yes,Mailed Check,Yes,13.0,0
15,85.9,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,0
48,19.25,Two Year,No,Credit Card,,22.0,5
27,85.9,One Year,Yes,Bank Withdrawal,Yes,14.0,7
14,100.2,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,1
1,80.2,Month-to-Month,Yes,Mailed Check,Yes,69.0,0
4,82.85,Month-to-Month,Yes,Credit Card,Yes,73.0,0
17,88.25,Month-to-Month,No,Bank Withdrawal,Yes,9.0,7
64,70.2,Two Year,Yes,Credit Card,Yes,24.0,0
42,100.3,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,0
54,109.75,Two Year,No,Bank Withdrawal,Yes,9.0,1
52,102.7,Month-to-Month,Yes,Credit Card,Yes,71.0,0
10,56.05,Two Year,No,Credit Card,Yes,8.0,2
44,100.55,Month-to-Month,No,Bank Withdrawal,Yes,23.0,0
50,105.95,Month-to-Month,No,Credit Card,Yes,13.0,0
4,81.0,Month-to-Month,Yes,Bank Withdrawal,No,59.0,0
22,59.0,Month-to-Month,No,Bank Withdrawal,Yes,17.0,0
68,44.95,Month-to-Month,No,Bank Withdrawal,Yes,13.0,0
8,-8.0,Two Year,Yes,Credit Card,Yes,23.0,0
33,19.8,Two Year,No,Credit Card,,22.0,0
49,84.5,Month-to-Month,No,Bank Withdrawal,Yes,20.0,1
25,20.2,One Year,Yes,Bank Withdrawal,,22.0,2
4,105.65,One Year,Yes,Bank Withdrawal,Yes,52.0,0
2,66.4,Month-to-Month,No,Bank Withdrawal,Yes,24.0,0
1,79.5,Month-to-Month,Yes,Bank Withdrawal,No,23.0,0
63,39.35,Two Year,No,Bank Withdrawal,Yes,16.0,7
28,25.55,One Year,No,Mailed Check,,22.0,7
3,98.7,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0
1,75.9,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,0
70,67.95,Two Year,No,Credit Card,Yes,15.0,7
1,-3.0,One Year,Yes,Bank Withdrawal,,21.0,8
1,44.65,Month-to-Month,Yes,Mailed Check,Yes,19.0,0
21,60.05,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
32,74.4,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,0
72,109.15,One Year,No,Credit Card,Yes,82.0,2
4,94.75,Two Year,Yes,Bank Withdrawal,Yes,17.0,0
72,112.9,Two Year,Yes,Credit Card,No,14.0,6
1,19.55,Month-to-Month,No,Credit Card,,21.0,0
46,90.95,One Year,No,Bank Withdrawal,No,48.0,2
69,105.2,One Year,Yes,Bank Withdrawal,Yes,28.0,0
43,34.0,Month-to-Month,No,Bank Withdrawal,Yes,21.0,9
6,19.55,Two Year,No,Credit Card,,22.0,0
29,19.4,Two Year,No,Credit Card,,22.0,0
50,69.75,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,8
51,93.65,One Year,Yes,Bank Withdrawal,Yes,10.0,7
57,89.55,Two Year,No,Mailed Check,Yes,20.0,0
49,78.0,One Year,No,Credit Card,Yes,82.0,10
29,75.3,Month-to-Month,Yes,Credit Card,Yes,59.0,10
40,-1.0,Month-to-Month,Yes,Credit Card,Yes,20.0,1
47,58.9,One Year,Yes,Credit Card,Yes,5.0,0
2,79.75,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,0
32,106.35,Month-to-Month,No,Bank Withdrawal,Yes,3.0,3
70,75.5,Two Year,Yes,Bank Withdrawal,Yes,3.0,0
53,19.4,Two Year,Yes,Credit Card,,22.0,8
41,104.45,One Year,Yes,Bank Withdrawal,Yes,14.0,2
36,84.9,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,0
15,85.6,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,1
72,117.15,Two Year,Yes,Credit Card,Yes,5.0,1
49,19.45,One Year,No,Credit Card,,22.0,0
1,25.25,Month-to-Month,No,Bank Withdrawal,Yes,15.0,0
30,89.9,Month-to-Month,Yes,Credit Card,Yes,2.0,0
20,44.35,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
46,20.1,Two Year,Yes,Mailed Check,,22.0,4
63,20.5,One Year,No,Credit Card,,22.0,0
72,99.9,Two Year,No,Bank Withdrawal,Yes,26.0,7
1,89.35,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,0
40,36.0,One Year,No,Credit Card,No,12.0,0
2,72.6,Month-to-Month,Yes,Mailed Check,Yes,30.0,0
1,44.9,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,0
12,19.8,One Year,No,Bank Withdrawal,,20.0,1
22,100.65,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0
9,19.9,One Year,Yes,Bank Withdrawal,,22.0,0
1,70.6,Month-to-Month,Yes,Credit Card,Yes,14.0,0
58,75.8,Two Year,No,Credit Card,Yes,69.0,1
53,93.45,One Year,Yes,Bank Withdrawal,Yes,82.0,1
17,44.45,One Year,No,Credit Card,Yes,52.0,1
67,59.55,Two Year,Yes,Bank Withdrawal,Yes,52.0,1
72,89.55,Two Year,Yes,Credit Card,Yes,24.0,4
18,77.8,Month-to-Month,No,Bank Withdrawal,Yes,26.0,0
7,74.35,Month-to-Month,No,Credit Card,Yes,23.0,0
58,19.55,Two Year,No,Credit Card,,22.0,4
45,97.05,Two Year,Yes,Bank Withdrawal,Yes,4.0,0
13,76.2,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,1
1,44.75,Month-to-Month,No,Credit Card,Yes,21.0,0
22,79.35,Month-to-Month,Yes,Bank Withdrawal,Yes,17.0,0
38,81.0,Two Year,No,Credit Card,Yes,73.0,1
6,55.3,Month-to-Month,Yes,Mailed Check,Yes,19.0,1
2,19.65,Month-to-Month,Yes,Credit Card,,21.0,0
32,104.05,One Year,Yes,Credit Card,Yes,28.0,0
12,79.8,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
1,34.7,Month-to-Month,Yes,Bank Withdrawal,Yes,8.0,0
66,68.75,Two Year,No,Bank Withdrawal,Yes,10.0,0
67,75.7,Month-to-Month,Yes,Mailed Check,Yes,19.0,0
3,75.8,Month-to-Month,Yes,Bank Withdrawal,No,23.0,0
41,45.2,Month-to-Month,No,Bank Withdrawal,Yes,28.0,0
2,20.45,Month-to-Month,Yes,Mailed Check,,21.0,0
53,105.25,One Year,Yes,Bank Withdrawal,Yes,27.0,7
72,20.1,Two Year,Yes,Credit Card,,22.0,6
72,103.95,Two Year,No,Credit Card,Yes,30.0,1
52,98.15,Month-to-Month,No,Bank Withdrawal,Yes,28.0,6
14,19.7,Two Year,Yes,Credit Card,,22.0,8
21,75.3,Month-to-Month,No,Credit Card,Yes,51.0,0
63,91.35,One Year,Yes,Bank Withdrawal,Yes,28.0,4
72,64.45,Two Year,Yes,Credit Card,Yes,9.0,9
1,75.45,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,0
18,61.5,One Year,Yes,Credit Card,Yes,51.0,7
1,78.65,Month-to-Month,No,Bank Withdrawal,Yes,10.0,0
15,59.65,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,6
2,45.35,Month-to-Month,No,Bank Withdrawal,Yes,9.0,0
1,19.75,Month-to-Month,No,Bank Withdrawal,,21.0,0
70,115.15,Two Year,Yes,Credit Card,Yes,53.0,3
28,85.45,Month-to-Month,No,Bank Withdrawal,Yes,12.0,6
72,19.75,Two Year,Yes,Credit Card,,22.0,0
12,54.3,Month-to-Month,Yes,Bank Withdrawal,No,26.0,0
58,24.45,Two Year,Yes,Credit Card,,22.0,0
7,80.3,Month-to-Month,Yes,Mailed Check,No,42.0,0
25,54.3,Month-to-Month,No,Bank Withdrawal,Yes,22.0,6
27,75.5,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,1
39,20.45,Two Year,Yes,Bank Withdrawal,,22.0,10
71,46.35,Two Year,No,Credit Card,Yes,19.0,9
2,49.2,Month-to-Month,No,Credit Card,Yes,4.0,0
60,101.15,Two Year,No,Credit Card,Yes,48.0,0
32,19.3,One Year,No,Credit Card,,22.0,1
10,70.3,One Year,No,Bank Withdrawal,Yes,26.0,5
49,84.35,One Year,No,Bank Withdrawal,Yes,10.0,1
3,74.95,Month-to-Month,Yes,Bank Withdrawal,Yes,8.0,0
47,20.55,One Year,No,Credit Card,,22.0,0
62,20.0,Two Year,No,Bank Withdrawal,,22.0,0
72,94.65,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,9
1,79.6,Month-to-Month,No,Bank Withdrawal,Yes,22.0,0
35,99.25,One Year,Yes,Bank Withdrawal,Yes,2.0,0
15,25.25,Month-to-Month,Yes,Bank Withdrawal,,22.0,1
4,97.95,Month-to-Month,Yes,Bank Withdrawal,Yes,51.0,4
45,18.85,One Year,No,Bank Withdrawal,,22.0,0
10,84.6,Month-to-Month,Yes,Credit Card,Yes,30.0,0
42,25.05,One Year,No,Bank Withdrawal,,22.0,0
47,39.65,One Year,No,Credit Card,Yes,3.0,0
9,77.65,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,0
27,56.2,One Year,No,Credit Card,No,59.0,0
36,87.55,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
2,45.55,Month-to-Month,No,Bank Withdrawal,No,71.0,0
1,19.5,Month-to-Month,No,Credit Card,,21.0,0
71,25.45,Two Year,No,Credit Card,,22.0,3
5,75.6,Month-to-Month,No,Bank Withdrawal,No,25.0,0
1,88.35,Month-to-Month,Yes,Bank Withdrawal,Yes,46.0,0
3,20.85,Month-to-Month,No,Credit Card,,21.0,0
8,76.15,Two Year,Yes,Credit Card,Yes,14.0,0
20,98.55,Month-to-Month,Yes,Bank Withdrawal,No,13.0,0
61,94.2,Month-to-Month,Yes,Credit Card,Yes,29.0,1
1,20.45,Month-to-Month,No,Mailed Check,,21.0,0
3,70.3,Month-to-Month,Yes,Credit Card,Yes,27.0,0
1,19.85,Month-to-Month,No,Credit Card,,21.0,0
6,19.55,Month-to-Month,No,Credit Card,,22.0,0
69,19.75,Two Year,No,Bank Withdrawal,,22.0,9
1,19.55,Month-to-Month,No,Credit Card,,21.0,0
32,85.95,Month-to-Month,Yes,Credit Card,Yes,9.0,0
31,89.3,Month-to-Month,No,Bank Withdrawal,Yes,57.0,1
4,29.15,Month-to-Month,Yes,Credit Card,No,2.0,0
28,91.25,One Year,Yes,Bank Withdrawal,Yes,12.0,0
64,81.05,Month-to-Month,No,Bank Withdrawal,Yes,12.0,4
62,90.7,Month-to-Month,No,Bank Withdrawal,Yes,2.0,0
72,105.75,One Year,Yes,Credit Card,No,16.0,7
21,86.55,Month-to-Month,No,Bank Withdrawal,Yes,9.0,0
42,20.35,Month-to-Month,No,Credit Card,,22.0,0
25,89.1,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,1
44,54.9,Month-to-Month,Yes,Bank Withdrawal,No,52.0,4
56,75.85,Two Year,Yes,Credit Card,Yes,26.0,6
46,19.25,Two Year,Yes,Credit Card,,22.0,1
66,110.9,One Year,No,Credit Card,Yes,25.0,0
47,83.35,Month-to-Month,Yes,Bank Withdrawal,No,59.0,1
55,60.0,One Year,No,Credit Card,Yes,23.0,2
47,98.75,Month-to-Month,Yes,Bank Withdrawal,Yes,51.0,1
5,80.15,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,1
51,80.0,Month-to-Month,No,Credit Card,Yes,16.0,0
22,19.9,Month-to-Month,No,Credit Card,,22.0,2
12,20.4,Month-to-Month,No,Credit Card,,22.0,0
